"address","id","bikes","slots","totalSlots","position/0","position/1"
"Piazza Grazioli - Lavis","Grazioli - Lavis",3,7,10,46.139732902099794,11.111516155225331
"Piazza della Croce - Pressano","Pressano - Lavis",2,5,7,46.15368174037716,11.106601229430453
"Via Stazione - Lavis","Stazione RFI - Lavis",3,7,10,46.148180371138814,11.096753997622727
"Piazza San Gottardo","Borgata - Mezzocorona",1,11,12,46.21475054941156,11.118409916007977
"Via Cavalleggeri, 19","Cavalleggeri - Mezzocorona",1,11,12,46.215938768425005,11.119989353442406
"Piazza Trento","Stazione TN-MALE' - Mezzocorona",5,12,18,46.20734740002011,11.128130419326794
"via Cavalleggeri Udine 1","Fiera - Mezzolombardo",1,11,12,46.21606936512313,11.087786176482382
"Via Carducci","Ospedale San Giovanni - Mezzolombardo",1,11,12,46.21259623820249,11.094625366934224
"Via San Francesco, 4","Stazione TN-MALE' - Mezzolombardo",2,3,5,46.2134060415138,11.093330302516165
"Stazione / via Dante Alighieri 69","Centro Intermodale - Pergine Valsugana",0,6,6,46.06283953962371,11.232342992868098
"Via Oltrefersina 153","Madrano - Pergine Valsugana",0,0,0,46.0838504717494,11.219184817335531
"Via Tegazzo fr. civ. 10","Tegazzo - Pergine Valsugana",0,0,0,46.06131044875352,11.243516084620978
"Via Antonio Balista 10","Balista - Rovereto",4,5,9,45.896175282432274,11.03036572611154
"Via Perosi / Via Puccini","Brione - Rovereto",4,2,6,45.90421911950808,11.044299836454002
"P.za Guella / Via Montello","Lizzana - Rovereto",8,1,9,45.8675281353871,11.031902417860465
"Via 2 novembre / via Alveo - Scuola","Marco - Rovereto",1,4,6,45.84133938920707,11.008448922615116
"Via Bettini Museo Mart","Mart - Rovereto",1,4,6,45.89383120606002,11.043776690807363
"Via Calcinari fr. civ. 11","Municipio - Rovereto",0,6,6,45.88700893072052,11.04421812261512
"Via Noriglio / ex scuola D. Chiesa","Noriglio - Rovereto",2,6,8,45.88365364364294,11.070399481792492
"Via del Garda / Via dell’Industria","Orvea - Rovereto",4,8,12,45.87202945143379,11.020309774135626
"C.so Verona Park Ospedale Nuovo","Ospedale - Rovereto",0,11,12,45.88226500641319,11.040281016146878
"P.za Rosmini 1","P. Rosmini - Rovereto",1,5,6,45.89102037579931,11.043363036887968
,"Piscina - Rovereto",0,0,0,45.8844444,11.03361111111111
"Via Palestrina 3","Quercia - Rovereto",3,3,6,45.90050916437712,11.036815184130887
"Via Vittoria / Via Unione","Sacco - Rovereto",4,6,11,45.88477528345004,11.023286167216156
"P.le Orsi - Scuola","Stazione FF.SS. - Rovereto",3,7,10,45.89125332494616,11.03489086508182
"Stazione Mori","Stazione Mori - Rovereto",2,9,11,45.861171706692836,11.001933217048647
"Via Manzoni / Via Paoli","Via Paoli - Rovereto",0,12,12,45.89177380040726,11.039904616532908
"Piazzetta Scrinzi","Villa Lagarina - Rovereto",3,9,12,45.91594639958107,11.031688259394059
"Via Caproni Park Laghiol - Luxottica","Zona Industriale - Rovereto",0,5,5,45.86630335827336,11.015673193887324
"Via Lidorno / Aeroporto Caproni","Aeroporto - Trento",1,7,8,46.01983619754026,11.127080654939277
"Via De Gasperi - Lato Trento Frutta","Azienda Sanitaria - Trento",4,12,16,46.044433415996814,11.12804971230321
"Via Bezzi / Via Vittorio Veneto","Bezzi - Trento",1,8,9,46.058020904033015,11.119315767528406
"Via Alfieri / Via Torre Vanga","Biblioteca - Trento",8,14,24,46.07043395910254,11.121399842327946
"Via Guardini fr. civ. 75","Bren Center - Trento",0,17,17,46.094653868146885,11.117693389024225
"Via S. Croce 78","Centro Santa Chiara - Trento",0,15,16,46.06345393738132,11.12375366752849
"via Madruzzo / via Rosmini","Cimitero - Trento",2,7,9,46.063653753791996,11.119203004368615
"Via IV Novembre / Piscina","Gardolo - Trento",4,2,6,46.10407094472173,11.112932473016372
,"Lidl - Trento",0,0,0,46.0836111,11.119444444444445
"Via Lidorno / Park Trento Sud","Lidorno - Trento",3,9,12,46.03316279422745,11.126252122229062
"Corso del Lavoro e della Scienza","Muse - Trento",4,8,12,46.06137765005302,11.116027144580812
"P.za della Mostra 30","Piazza della Mostra - Trento",0,12,12,46.071784324082046,11.125761136176266
"P.le di Centa / Via Vannetti","Piazza di Centa - Trento",1,11,12,46.07538723420181,11.12382177686004
"Via Grazioli / P.za Venezia","Piazza Venezia - Trento",1,20,21,46.06753791402558,11.126987115869156
"Via Fogazzaro / Via Gocciadoro","Piscina - Trento",6,6,12,46.05627509524844,11.13094278895494
"Via Pozzo / Via Torre Vanga","Stazione Autocorriere - Trento",2,19,21,46.07023563810641,11.119849430688419
"Via Gocciadoro - Staz. S. Chiara","Stazione FFSS - Ospedale - Trento",0,12,12,46.054586705531555,11.135349258821861
"Via Pranzelores / Via Giuseppe Gilli","Top Center - Trento",1,23,24,46.09010372321067,11.118583717279193
"Via Rosmini 50 - Università","Università - Trento",0,17,18,46.06632943181332,11.119020308598351
"piazza Dante / via Vannetti","Vannetti - Trento",3,3,6,46.072996732945235,11.121911281089751
,"Zuffo 1 - Trento",0,0,0,46.075,11.109444444444444
,"Zuffo 2 - Trento",0,0,0,46.075,11.11
"Via S.F. Biasi c/o Fond. Mach","Mach - San Michele all Adige",0,11,12,46.1914402574372,11.134761607687324
"Via San Francesco Biasi 1","Municipio - San Michele all Adige",2,8,11,46.19211611459747,11.132833099405616
