"codStazione","lat","lon","name"
"S02050",45.733892,10.955842,"avio"
"S02051",45.696721,10.927083,"borghetto"
"S02317",46.015059,11.624984,"grigno"
"S02037",46.148306,11.095993,"lavis"
"S02046",45.861216,11.002648,"mori"
"S02308",45.997575,11.264815,"caldonazzo"
"S02312",46.03618,11.398818,"roncegno bagni-marter"
"S02309",46.005729,11.30493,"levico"
"S02035",46.207258,11.128595,"mezzocorona"
"S02305",46.062482,11.232637,"pergine"
"S02300",46.045911,11.13906,"villazzano"
"S02315",46.051003,11.514327,"strigno"
"S02049",45.760087,10.996775,"ala"
"S02318",45.990485,11.669726,"tezze di grigno"
"S02314",46.05224,11.462119,"borgo valsugana est"
"S02307",46.007384,11.240713,"calceranica"
"S02003",46.056242,11.13624,"trento s.chiara"
"S02313",46.051182,11.453967,"borgo valsugana centro"
"S02044",45.890985,11.033518,"rovereto"
"S02038",46.072414,11.118941,"trento"
